Date	Price	Open	High	Low	Vol.	Change %
2016/7/21	132.23	131.97	132.34	131.61	1.28M	0.19
2016/7/20	131.98	132.3	132.33	131.86	838.21K	-0.19
2016/7/19	132.23	132.05	132.41	132	887.41K	0.15
2016/7/18	132.03	131.94	132.25	131.73	854.81K	0.11
2016/7/15	131.88	132.34	132.52	131.78	1.24M	-0.39
2016/7/14	132.39	132.73	132.91	132.19	1.37M	-0.33
2016/7/13	132.83	132.48	132.94	132.47	1.20M	0.23
2016/7/12	132.52	133.16	133.25	132.36	1.43M	-0.48
2016/7/11	133.16	133.86	133.89	133.14	932.75K	-0.48
2016/7/8	133.8	133.69	134.02	133.05	1.46M	0.08
2016/7/7	133.69	133.84	133.94	133.34	1.17M	0.01
2016/7/6	133.67	133.84	134.23	133.58	1.43M	-0.16
2016/7/5	133.89	133.3	133.98	133	1.12M	0.46
2016/7/4	133.28	133.28	133.34	133.01	0	0.02
2016/7/3	133.26	133.28	133.3	133.14	0	0.14
2016/7/1	133.08	133.03	133.92	132.98	1.35M	0.08
2016/6/30	132.98	132.7	133.23	132.44	1.94M	-0.06
2016/6/29	133.06	133.19	133.31	132.69	1.10M	-0.14
2016/6/28	133.25	133.44	133.56	133.03	1.14M	-0.02
2016/6/27	133.28	132.75	133.47	132.7	1.32M	0.68
2016/6/24	132.38	130.7	134.22	130.67	3.13M	1.2
2016/6/23	130.81	131.28	131.28	130.73	1.10M	-0.4
2016/6/22	131.34	131.2	131.42	131.16	916.89K	0
2016/6/21	131.34	131.42	131.48	131.28	15.68K	-0.04
2016/6/20	131.39	131.39	131.53	131.14	17.32K	-0.29
2016/6/17	131.77	132.08	132.08	131.75	13.69K	-0.3
2016/6/16	132.16	132.16	132.55	131.98	9.07K	0.14
2016/6/15	131.98	131.67	132.14	131.52	26.64K	0.2
2016/6/14	131.72	131.72	132.12	131.62	36.55K	0.02
2016/6/13	131.69	131.59	131.78	131.48	16.57K	0.18
2016/6/10	131.45	131.05	131.53	131.05	14.41K	0.28
2016/6/9	131.08	130.92	131.25	130.89	13.58K	0.15
2016/6/8	130.89	130.92	131.05	130.86	9.26K	-0.04
2016/6/7	130.94	130.78	131.03	130.67	35.29K	0.06
2016/6/6	130.86	131	131	130.64	40.49K	-0.07
2016/6/3	130.95	129.94	131.02	129.88	70.09K	0.79
2016/6/2	129.92	129.67	130.03	129.64	122.72K	0.22
2016/6/1	129.64	129.66	130.02	129.59	139.87K	-0.12
2016/5/31	129.8	129.5	129.8	129.3	377.11K	0.32
2016/5/30	129.38	129.38	129.4	129.25	0	-0.32
2016/5/27	129.8	129.83	129.91	129.47	939.61K	-0.07
2016/5/26	129.89	129.47	129.91	129.44	1.74M	0.32
2016/5/25	129.47	129.53	129.61	129.33	1.98M	-0.07
2016/5/24	129.56	129.78	129.89	129.39	1.72M	-0.15
2016/5/23	129.75	129.72	129.94	129.61	1.03M	0.04
2016/5/20	129.7	129.64	129.8	129.5	896.68K	0.02
2016/5/19	129.67	129.55	129.78	129.31	1.64M	0.22
2016/5/18	129.38	130.3	130.38	129.33	1.93M	-0.79
2016/5/17	130.41	130.52	130.62	130.28	1.13M	-0.08
